"date","field","plant","shoot","diameter"
2017-06-30,"A","3","1",3.06
2017-06-30,"A","3","2",2.65
2017-06-30,"A","3","3",1.46
2017-06-30,"A","3","4",1.82
2017-06-30,"A","3","5",2.09
2017-06-30,"A","3","6",2.04
2017-06-30,"A","3","7",2.47
2017-06-30,"A","4","1",1.58
2017-06-30,"A","4","2",2.07
2017-06-30,"A","4","3",2.1
2017-06-30,"A","4","4",2.75
2017-06-30,"A","4","5",2.68
2017-06-30,"A","4","6",1.81
2017-06-30,"A","4","7",1.94
2017-06-30,"A","5","1",1.88
2017-06-30,"A","5","2",2.4
2017-06-30,"A","5","3",2.26
2017-06-30,"A","5","4",2.08
2017-06-30,"A","5","5",1.78
2017-06-30,"A","5","6",2.46
2017-06-30,"A","5","7",1.81
2017-06-30,"A","6","1",2.31
2017-06-30,"A","6","2",2.33
2017-06-30,"A","6","3",2.12
2017-06-30,"A","6","4",2.14
2017-06-30,"A","6","5",2.77
2017-06-30,"A","6","6",2.77
2017-06-30,"A","6","7",2.35
2017-06-30,"A","7","1",2.22
2017-06-30,"A","7","2",2.17
2017-06-30,"A","7","3",1.68
2017-06-30,"A","7","4",1.96
2017-06-30,"A","7","5",2.3
2017-06-30,"A","7","6",1.82
2017-06-30,"A","7","7",2.04
2017-06-30,"A","8","1",2.61
2017-06-30,"A","8","2",2.37
2017-06-30,"A","8","3",2.07
2017-06-30,"A","8","4",2.33
2017-06-30,"A","8","5",2.15
2017-06-30,"A","8","6",2.35
2017-06-30,"A","8","7",2.18
2017-06-30,"A","9","1",2.57
2017-06-30,"A","9","2",2.58
2017-06-30,"A","9","3",2.34
2017-06-30,"A","9","4",2.25
2017-06-30,"A","9","5",2.12
2017-06-30,"A","9","6",2.29
2017-06-30,"A","9","7",2.4
2017-06-30,"A","10","1",2.34
2017-06-30,"A","10","2",2.25
2017-06-30,"A","10","3",2.24
2017-06-30,"A","10","4",2.51
2017-06-30,"A","10","5",2.58
2017-06-30,"A","10","6",2.65
2017-06-30,"A","10","7",2.11
