"date_time","date","day","field","harvest","hoppers","n_leaves","counter","plant"
2017-06-08 06:06:00,2017-06-08,4,"B","N",1,30,"G","4"
2017-06-08 06:06:00,2017-06-08,4,"B","N",0,30,"E","5"
2017-06-08 06:06:00,2017-06-08,4,"B","N",0,30,"W","6"
2017-06-08 06:06:00,2017-06-08,4,"B","N",3,30,"W","7"
2017-06-08 06:06:00,2017-06-08,4,"B","N",1,30,"G","8"
2017-06-08 06:06:00,2017-06-08,4,"B","N",5,30,"W","9"
2017-06-08 06:06:00,2017-06-08,4,"B","N",2,30,"G","10"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"W","1"
2017-06-09 06:33:00,2017-06-09,5,"A","N",1,30,"W","2"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"W","3"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"E","4"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"G","5"
2017-06-09 06:33:00,2017-06-09,5,"A","N",0,30,"G","6"
2017-06-09 06:33:00,2017-06-09,5,"A","N",1,30,"G","7"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"G","8"
2017-06-09 06:33:00,2017-06-09,5,"A","N",0,30,"E","9"
2017-06-09 06:33:00,2017-06-09,5,"A","N",2,30,"E","10"
2017-06-09 06:18:00,2017-06-09,5,"B","N",1,30,"W","1"
2017-06-09 06:18:00,2017-06-09,5,"B","N",4,30,"W","2"
2017-06-09 06:18:00,2017-06-09,5,"B","N",1,30,"E","3"
2017-06-09 06:18:00,2017-06-09,5,"B","N",5,30,"G","4"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"W","5"
2017-06-09 06:18:00,2017-06-09,5,"B","N",0,30,"E","6"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"E","7"
2017-06-09 06:18:00,2017-06-09,5,"B","N",4,30,"G","8"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"E","9"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"G","10"
2017-06-10 06:28:00,2017-06-10,6,"A","N",2,30,"W","1"
2017-06-10 06:28:00,2017-06-10,6,"A","N",2,30,"W","2"
2017-06-10 06:28:00,2017-06-10,6,"A","N",1,30,"W","3"
2017-06-10 06:28:00,2017-06-10,6,"A","N",1,30,"G","4"
2017-06-10 06:28:00,2017-06-10,6,"A","N",3,30,"G","5"
2017-06-10 06:28:00,2017-06-10,6,"A","N",5,30,"E","6"
2017-06-10 06:28:00,2017-06-10,6,"A","N",2,30,"G","7"
2017-06-10 06:28:00,2017-06-10,6,"A","N",5,30,"G","8"
2017-06-10 06:28:00,2017-06-10,6,"A","N",0,30,"E","9"
2017-06-10 06:28:00,2017-06-10,6,"A","N",3,30,"E","10"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",3,30,NA,"1"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",1,30,NA,"2"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",2,30,"G","3"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",2,30,"E","4"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",0,30,NA,"5"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",1,30,"G","6"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",2,30,"G","7"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",3,30,"E","8"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",4,30,"G","9"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",3,30,"E","10"
2017-06-11 06:02:00,2017-06-11,7,"A","N",3,30,"E","1"
2017-06-11 06:02:00,2017-06-11,7,"A","N",2,30,"E","2"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"G","3"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"W","4"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"E","5"
2017-06-11 06:02:00,2017-06-11,7,"A","N",5,30,"W","6"
2017-06-11 06:02:00,2017-06-11,7,"A","N",0,30,"G","7"
2017-06-11 06:02:00,2017-06-11,7,"A","N",2,30,"G","8"
2017-06-11 06:02:00,2017-06-11,7,"A","N",0,30,"W","9"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"W","10"
2017-06-11 05:50:00,2017-06-11,7,"B","N",4,30,"G","1"
2017-06-11 05:50:00,2017-06-11,7,"B","N",2,30,"G","2"
2017-06-11 05:50:00,2017-06-11,7,"B","N",4,30,"G","3"
2017-06-11 05:50:00,2017-06-11,7,"B","N",0,30,"E","4"
2017-06-11 05:50:00,2017-06-11,7,"B","N",5,30,"G","5"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"W","6"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"W","7"
2017-06-11 05:50:00,2017-06-11,7,"B","N",2,30,"E","8"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"W","9"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"E","10"
2017-06-12 06:02:00,2017-06-12,8,"A","N",5,30,"W","1"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"W","2"
2017-06-12 06:02:00,2017-06-12,8,"A","N",0,30,"E","3"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"E","4"
2017-06-12 06:02:00,2017-06-12,8,"A","N",1,30,"W","5"
